"","number","name","position","height","weight","class","hometown","Team"
"1",0,"Clyde Trapp","G","6' 4""","194 lbs","JR","Eastover, SC","Clemson"
"2",1,"Jonathan Baehre","F","6' 10""","209 lbs","JR","Wiesbaden, Germany","Clemson"
"3",2,"Al-Amir Dawes","G","6' 2""","180 lbs","FR","Newark, NJ","Clemson"
"4",3,"Chase Hunter","G","6' 3""","200 lbs","FR","Atlanta, GA","Clemson"
"5",4,"Nick Honor","G","5' 10""","205 lbs","SO","Orlando, FL","Clemson"
"6",5,"Hunter Tyson","F","6' 8""","211 lbs","SO","Monroe, NC","Clemson"
"7",10,"Curran Scott","G","6' 4""","205 lbs","SR","Edmond, OK","Clemson"
"8",11,"Parker Fox","G","6' 6""","202 lbs","SO","Reno, NV","Clemson"
"9",12,"Alex Hemenway","G","6' 3""","180 lbs","FR","Newburgh, IN","Clemson"
"10",13,"Tevin Mack","G","6' 6""","227 lbs","SR","Columbia, SC","Clemson"
"11",15,"John Newman III","G","6' 5""","197 lbs","SO","Greensboro, NC","Clemson"
"12",20,"O'Neil McBride","F","6' 7""","195 lbs","FR","Myrtle Beach, SC","Clemson"
"13",21,"Khavon Moore","G","6' 8""","217 lbs","SO","Macon, GA","Clemson"
"14",25,"Aamir Simms","F","6' 8""","240 lbs","JR","Palmyra, VA","Clemson"
"15",32,"Paul Grinde","F","6' 10""","300 lbs","SR","Virginia Beach, VA","Clemson"
"16",55,"Trey Jemison","C","7' 0""","256 lbs","SO","Birmingham, AL","Clemson"
"17",0,"Hunter Cattoor","G","6' 3""","205 lbs","FR","Orlando, FL","Virginia Tech"
"18",1,"Isaiah Wilkins","G","6' 3""","230 lbs","SO","Winston-salem, NC","Virginia Tech"
"19",2,"Landers Nolley II","G","6' 7""","230 lbs","FR","Atlanta, GA","Virginia Tech"
"20",3,"Wabissa Bede","G","6' 1""","195 lbs","JR","North Andover, MA","Virginia Tech"
"21",10,"Jonathan Kabongo","G","6' 4""","195 lbs","SO","Toronto, ON","Virginia Tech"
"22",11,"Brendan Palmer","G","6' 3""","190 lbs","SO","Winston-salem, NC","Virginia Tech"
"23",13,"Grant Yates","F","6' 8""","210 lbs","SO","Gainesville, VA","Virginia Tech"
"24",14,"P.J. Horne","F","6' 5""","230 lbs","JR","Tifton, GA","Virginia Tech"
"25",15,"Jalen Cone","G","5' 10""","170 lbs","FR","Walkertown, NC","Virginia Tech"
"26",21,"John Ojiako","F","6' 10""","240 lbs","FR","Lagos, Nigeria","Virginia Tech"
"27",22,"Keve Aluma","F","6' 9""","240 lbs","JR","Berlin, MD","Virginia Tech"
"28",23,"Tyrece Radford","G","6' 2""","195 lbs","FR","Baton Rouge, LA","Virginia Tech"
"29",24,"Branden Johnson","F","6' 8""","230 lbs","SR","Garfield Heights, OH","Virginia Tech"
"30",25,"Ryan Payne","F","6' 8""","220 lbs","JR","Mechanicsville, VA","Virginia Tech"
"31",0,"Wendell Moore Jr.","F","6' 6""","213 lbs","FR","Charlotte, NC","Duke"
