EventID,Season,DayNum,WTeamID,LTeamID,WPoints,LPoints,ElapsedSeconds,EventTeamID,EventPlayerID,EventType,GameID,OT,TimeRemain,EventTeam,OtherTeam,PossTeam,COP
30099809,2019,1,1104,1380,0,0,18,1380,657441,assist,2019111041380,0,2382,1380,1104,1380.0,0
30099810,2019,1,1104,1380,0,2,18,1380,657447,made2_jump,2019111041380,0,2382,1380,1104,1380.0,0
30099811,2019,1,1104,1380,2,2,42,1104,653561,made2_jump,2019111041380,0,2358,1104,1380,1104.0,1
30099812,2019,1,1104,1380,0,0,58,1380,657437,turnover,2019111041380,0,2342,1380,1104,1380.0,0
30099813,2019,1,1104,1380,0,0,63,1104,653565,assist,2019111041380,0,2337,1104,1380,1104.0,0
30099814,2019,1,1104,1380,5,2,63,1104,653564,made3_jump,2019111041380,0,2337,1104,1380,1104.0,1
30099815,2019,1,1104,1380,0,0,71,1380,657434,foul_pers,2019111041380,0,2329,1380,1104,1104.0,0
30099816,2019,1,1104,1380,0,0,71,1380,657434,turnover,2019111041380,0,2329,1380,1104,1380.0,1
30099817,2019,1,1104,1380,0,0,79,1380,657441,foul_pers,2019111041380,0,2321,1380,1104,1380.0,0
30099818,2019,1,1104,1380,0,0,94,1104,653564,miss2_jump,2019111041380,0,2306,1104,1380,1104.0,1
30099819,2019,1,1104,1380,0,0,94,1380,657432,reb_def,2019111041380,0,2306,1380,1104,1104.0,1
30099820,2019,1,1104,1380,0,0,119,1104,653565,reb_def,2019111041380,0,2281,1104,1380,1380.0,1
30099821,2019,1,1104,1380,0,0,119,1380,657437,miss3_jump,2019111041380,0,2281,1380,1104,1380.0,1
30099822,2019,1,1104,1380,0,0,146,1104,653565,assist,2019111041380,0,2254,1104,1380,1104.0,0
30099823,2019,1,1104,1380,7,2,146,1104,653562,made2_jump,2019111041380,0,2254,1104,1380,1104.0,1
30099824,2019,1,1104,1380,7,4,159,1380,657434,made2_jump,2019111041380,0,2241,1380,1104,1380.0,0
30099825,2019,1,1104,1380,0,0,175,1104,653562,reb_off,2019111041380,0,2225,1104,1380,1104.0,0
30099826,2019,1,1104,1380,0,0,175,1104,653563,miss3_jump,2019111041380,0,2225,1104,1380,1104.0,0
30099827,2019,1,1104,1380,0,0,177,1104,653562,miss1_free,2019111041380,0,2223,1104,1380,1104.0,1
30099828,2019,1,1104,1380,0,0,177,1380,657437,foul_pers,2019111041380,0,2223,1380,1104,1104.0,0
30099829,2019,1,1104,1380,0,0,177,1380,657438,sub_in,2019111041380,0,2223,1380,1104,1104.0,0
30099830,2019,1,1104,1380,0,0,177,1380,657447,reb_def,2019111041380,0,2223,1380,1104,1104.0,1
30099831,2019,1,1104,1380,8,4,177,1104,653562,made1_free,2019111041380,0,2223,1104,1380,1104.0,0
30099832,2019,1,1104,1380,0,0,194,1104,653565,foul_pers,2019111041380,0,2206,1104,1380,1104.0,0
30099833,2019,1,1104,1380,0,0,194,1380,657434,sub_out,2019111041380,0,2206,1380,1104,1104.0,0
30099834,2019,1,1104,1380,0,0,201,1380,657447,turnover,2019111041380,0,2199,1380,1104,1380.0,1
30099835,2019,1,1104,1380,0,0,212,1104,653561,turnover,2019111041380,0,2188,1104,1380,1104.0,1
30099836,2019,1,1104,1380,0,0,214,1380,657441,steal,2019111041380,0,2186,1380,1104,1104.0,0
30099837,2019,1,1104,1380,0,0,221,1104,653561,block,2019111041380,0,2179,1104,1380,1380.0,1
30099838,2019,1,1104,1380,0,0,221,1380,657438,miss2_jump,2019111041380,0,2179,1380,1104,1380.0,0
30099839,2019,1,1104,1380,0,0,223,1380,657438,reb_off,2019111041380,0,2177,1380,1104,1380.0,1
30099840,2019,1,1104,1380,8,6,225,1380,657438,made2_jump,2019111041380,0,2175,1380,1104,1380.0,0
30099841,2019,1,1104,1380,0,0,238,1104,653565,assist,2019111041380,0,2162,1104,1380,1104.0,1
30099842,2019,1,1104,1380,10,6,238,1104,653561,made2_dunk,2019111041380,0,2162,1104,1380,1104.0,0
30099843,2019,1,1104,1380,10,9,249,1380,657437,made3_jump,2019111041380,0,2151,1380,1104,1380.0,1
30099844,2019,1,1104,1380,0,0,266,1104,653564,reb_off,2019111041380,0,2134,1104,1380,1104.0,0
30099845,2019,1,1104,1380,0,0,266,1104,653565,miss3_jump,2019111041380,0,2134,1104,1380,1104.0,1
30099846,2019,1,1104,1380,0,0,271,1104,653556,sub_in,2019111041380,0,2129,1104,1380,1104.0,0
30099847,2019,1,1104,1380,0,0,271,1104,653561,sub_out,2019111041380,0,2129,1104,1380,1104.0,1
30099848,2019,1,1104,1380,0,0,271,1104,653563,turnover,2019111041380,0,2129,1104,1380,1104.0,0
30099849,2019,1,1104,1380,0,0,271,1380,657442,sub_in,2019111041380,0,2129,1380,1104,1104.0,1
30099850,2019,1,1104,1380,0,0,271,1380,657447,sub_out,2019111041380,0,2129,1380,1104,1104.0,0
30099851,2019,1,1104,1380,0,0,271,1380,657448,timeout_tv,2019111041380,0,2129,1380,1104,1104.0,1
30099852,2019,1,1104,1380,0,0,280,1380,657441,turnover,2019111041380,0,2120,1380,1104,1380.0,0
30099854,2019,1,1104,1380,0,0,292,1104,653563,turnover,2019111041380,0,2108,1104,1380,1104.0,0
30099853,2019,1,1104,1380,0,0,292,1104,653563,foul_pers,2019111041380,0,2108,1104,1380,1380.0,0
30099855,2019,1,1104,1380,0,0,317,1104,653563,sub_out,2019111041380,0,2083,1104,1380,1104.0,0
30099856,2019,1,1104,1380,0,0,317,1104,653569,sub_in,2019111041380,0,2083,1104,1380,1104.0,0
30099857,2019,1,1104,1380,0,0,317,1380,657438,foul_pers,2019111041380,0,2083,1380,1104,1104.0,0
30099858,2019,1,1104,1380,0,0,317,1380,657438,turnover,2019111041380,0,2083,1380,1104,1380.0,0
30099859,2019,1,1104,1380,0,0,330,1104,653565,assist,2019111041380,0,2070,1104,1380,1104.0,0
30099860,2019,1,1104,1380,13,9,330,1104,653564,made3_jump,2019111041380,0,2070,1104,1380,1104.0,0
30099861,2019,1,1104,1380,0,0,345,1380,657442,turnover,2019111041380,0,2055,1380,1104,1380.0,0
30099862,2019,1,1104,1380,0,0,346,1104,653565,steal,2019111041380,0,2054,1104,1380,1380.0,0
30099863,2019,1,1104,1380,0,0,347,1104,653565,assist,2019111041380,0,2053,1104,1380,1104.0,1
30099864,2019,1,1104,1380,15,9,347,1104,653564,made2_lay,2019111041380,0,2053,1104,1380,1104.0,0
30099865,2019,1,1104,1380,0,0,381,1104,653562,reb_def,2019111041380,0,2019,1104,1380,1380.0,1
30099866,2019,1,1104,1380,0,0,381,1380,657432,miss3_jump,2019111041380,0,2019,1380,1104,1380.0,0
30099867,2019,1,1104,1380,0,0,389,1104,653569,turnover,2019111041380,0,2011,1104,1380,1104.0,0
30099868,2019,1,1104,1380,0,0,391,1380,657442,steal,2019111041380,0,2009,1380,1104,1104.0,1
30099869,2019,1,1104,1380,0,0,396,1380,657441,miss2_jump,2019111041380,0,2004,1380,1104,1380.0,0
30099870,2019,1,1104,1380,0,0,396,1380,657441,reb_off,2019111041380,0,2004,1380,1104,1380.0,1
30099871,2019,1,1104,1380,0,0,414,1380,657432,assist,2019111041380,0,1986,1380,1104,1380.0,0
30099872,2019,1,1104,1380,15,11,414,1380,657438,made2_dunk,2019111041380,0,1986,1380,1104,1380.0,0
30099877,2019,1,1104,1380,0,0,429,1104,653562,turnover,2019111041380,0,1971,1104,1380,1104.0,0
